timestamp,flow,source_ip,destination_ip,packets,bytes
2026-06-27 08:27:10,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:13,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:13,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:13,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:16,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:16,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:16,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:19,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:19,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:19,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:22,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:22,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:22,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:25,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:25,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:25,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:28,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:28,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:28,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:31,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:31,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:31,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:34,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:34,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:34,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:37,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:37,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:37,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:40,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:40,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:40,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:43,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:43,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:43,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:46,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:46,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:46,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:49,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:49,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:49,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:52,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:52,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:52,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:55,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:55,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:55,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
2026-06-27 08:27:58,attacker_to_bank,10.0.0.2,10.0.1.2,41,3414
2026-06-27 08:27:58,bank_to_attacker,10.0.1.2,10.0.0.2,41,6361
2026-06-27 08:27:58,attacker_to_honeypot,10.0.0.2,10.0.2.2,0,0
